Country,Indicator,Source,Unit,Currency,Frequency,Country Code,Time,Amount
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1977-01-01,6.0
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1977-01-01,-6.21
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1978-01-01,6.3
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1978-01-01,-7.32
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1979-01-01,9.5
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1979-01-01,-7.82
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1980-01-01,13.7
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1980-01-01,-9.61
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1981-01-01,14.1
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1981-01-01,-10.11
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1982-01-01,13.5
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1982-01-01,-9.92
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1983-01-01,12.7
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1983-01-01,-9.54
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1984-01-01,12.8
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1984-01-01,-9.24
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1985-01-01,13.0
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1985-01-01,-8.81
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1986-01-01,8.1
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1986-01-01,-8.53
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1987-01-01,9.0
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1987-01-01,-7.27
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1988-01-01,7.6
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1988-01-01,-7.69
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1989-01-01,9.6
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1989-01-01,-9.47
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1990-01-01,12.9
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1990-01-01,-9.77
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1991-01-01,12.4
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1991-01-01,-7.77
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1992-01-01,11.5
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1992-01-01,-8.3
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1993-01-01,10.4
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1993-01-01,-7.99
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1994-01-01,8.9
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1994-01-01,-9.15
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1995-01-01,10.3
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1995-01-01,-10.1
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1996-01-01,13.2
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1996-01-01,-9.09
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1997-01-01,13.8
Algeria,Imports,Bank of Algeria,Billions,USD,Yearly,DZA,1997-01-01,-8.13
Algeria,Exports,Bank of Algeria,Billions,USD,Yearly,DZA,1998-01-01,10.1
